n_steps,final_rec,Ns,death_rate,Is,beta,infection_period,final_inf,detection_time,deaths,peak,reinfection_probability,seed
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,42
100,0.0006666666666666666,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.1,14,0.0,7,0,0.0006666666666666666,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,44
100,0.02035886818495514,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.2,14,0.9796411318150449,7,102,0.9956287827841291,0.1,42
100,0.033584647018505824,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.2,14,0.9664153529814942,7,82,0.9952734638757597,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.2,14,0.0,7,0,0.0003333333333333333,0.1,44
100,0.05375552282768778,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.3,14,0.9462444771723122,7,284,1.0,0.1,42
100,0.0011066027296200663,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.3,14,0.99889339727038,7,289,0.9996661101836394,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.3,14,0.0,7,0,0.0003333333333333333,0.1,44
100,0.0007465472191116088,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.4,14,0.9992534527808884,7,321,1.0,0.1,42
100,0.0260707635009311,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.4,14,0.9739292364990689,7,315,1.0,0.1,43
100,0.07628398791540786,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.4,14,0.9237160120845922,7,352,1.0,0.1,44
100,0.001141552511415525,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.5,14,0.9988584474885844,7,372,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.5,14,1.0,7,312,1.0,0.1,43
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.5,14,1.0,7,354,1.0,0.1,44
100,0.004594180704441042,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.6,14,0.9954058192955589,7,388,1.0,0.1,42
100,0.0003705075954057058,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.6,14,0.9996294924045943,7,301,1.0,0.1,43
100,0.0007538635506973238,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.6,14,0.9992461364493027,7,347,1.0,0.1,44
100,0.007572889057175312,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.7,14,0.9924271109428247,7,359,1.0,0.1,42
100,0.00037678975131876413,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.7,14,0.9996232102486813,7,346,1.0,0.1,43
100,0.02391629297458894,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.7,14,0.976083707025411,7,324,1.0,0.1,44
100,0.1387927720107651,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.8,14,0.8612072279892349,7,399,1.0,0.1,42
100,0.0018642803877703207,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.8,14,0.9981357196122297,7,318,1.0,0.1,43
100,0.1599236641221374,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.8,14,0.8400763358778626,7,380,1.0,0.1,44
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.9,14,1.0,7,426,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.9,14,1.0,7,411,1.0,0.1,43
100,0.00231839258114374,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.9,14,0.9976816074188563,7,412,1.0,0.1,44
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",1.0,14,1.0,7,370,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",1.0,14,1.0,7,400,1.0,0.1,43
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",1.0,14,1.0,7,421,1.0,0.1,44
