n_steps,Ns,peak_value,peak_time,β_det,death_rate,Is,infection_period,β_und,detection_time,migration_intensity,reinfection_probability,seed,C
150,"[1000, 1000, 1000]",0.3333333333333333,14,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.0,0.1,42,3
150,"[1000, 1000, 1000]",0.3333333333333333,15,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.0,0.1,43,3
150,"[1000, 1000, 1000]",0.3333333333333333,18,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.0,0.1,44,3
150,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.1,0.1,42,3
150,"[1000, 1000, 1000]",1.0,18,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.1,0.1,43,3
150,"[1000, 1000, 1000]",1.0,20,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.1,0.1,44,3
150,"[1000, 1000, 1000]",1.0,22,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.2,0.1,42,3
150,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.2,0.1,43,3
150,"[1000, 1000, 1000]",1.0,22,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.2,0.1,44,3
150,"[1000, 1000, 1000]",1.0,18,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.3,0.1,42,3
150,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.3,0.1,43,3
150,"[1000, 1000, 1000]",1.0,27,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.3,0.1,44,3
150,"[1000, 1000, 1000]",1.0,16,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.4,0.1,42,3
150,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.4,0.1,43,3
150,"[1000, 1000, 1000]",1.0,19,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.4,0.1,44,3
150,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.5,0.1,42,3
150,"[1000, 1000, 1000]",1.0,16,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.5,0.1,43,3
150,"[1000, 1000, 1000]",1.0,19,"[0.05, 0.05, 0.05]",0.02,"[1, 0, 0]",14,"[0.5, 0.5, 0.5]",7,0.5,0.1,44,3
