β,peak_I,final_R
0.1,955.6259671178569,999.9543789676286
0.15,954.1568964325728,999.9544516223194
0.2,953.4236812173242,999.9544864197777
0.25,952.98419764916,999.9545097137741
0.3,952.6913722338431,999.9545235233431
0.35,952.4823042281096,999.9545352234005
0.4,952.3255540093858,999.9545430130855
0.45,952.203664321542,999.9545482376021
0.5,952.1061667265205,999.9545540811766
0.55,952.0264101284752,999.9545584068065
0.6,951.959952930823,999.9545617869206
0.65,951.9037269561275,999.9545635678064
0.7,951.8555405370912,999.9545665066371
0.75,951.8137812354339,999.9545693681595
0.8,951.777242450273,999.9545703252898
